mirror_id,original_campo_mirror_id,ring_index,campo_zone,zone_row_index,normalized_zone_row,azimuth_rad,centered_azimuth_feature,nominal_ring_count,actual_ring_count,mirror_width_m,mirror_height_m,x_m,y_m,z_m
1237,1237,21,2,9,0.5625,-0.7199483164476608,-0.07521914257240814,144,48,6.664689695527328,6.1529606543464785,-267.0001850395775,122.65530638871155,5.132460252215359
1238,1238,21,2,9,0.5625,-0.6763150851478027,-0.0471744669585038,144,48,6.664689695527328,6.1529606543464785,-253.46590372821973,134.01191684532137,5.132460252215359
1239,1239,21,2,9,0.5625,-0.6326818538479445,-0.020614345783903087,144,48,6.664689695527328,6.1529606543464785,-239.44913566305507,144.7673612659638,5.132460252215359
1240,1240,21,2,9,0.5625,-0.5890486225480862,0.004410662251159603,144,48,6.664689695527328,6.1529606543464785,-224.9765625587566,154.90116605088474,5.132460252215359
1241,1241,21,2,9,0.5625,-0.5454153912482272,0.027852920621561306,144,48,6.664689695527328,6.1529606543464785,-210.07573378079536,164.39404092670833,5.132460252215359
1242,1242,21,2,9,0.5625,-0.5017821599483689,0.0496678056561225,144,48,6.664689695527328,6.1529606543464785,-194.77501390365845,173.22791566656838,5.132460252215359
1243,1243,21,2,9,0.5625,-0.4581489286485117,0.06981379148130262,144,48,6.664689695527328,6.1529606543464785,-179.10352871726818,181.38597448781292,5.132460252215359
1244,1244,21,2,9,0.5625,-0.41451569734865346,0.08825252906806147,144,48,6.664689695527328,6.1529606543464785,-163.09110978438514,188.85268806180238,5.132460252215359
1245,1245,21,2,9,0.5625,-0.37088246604879527,0.10494891923141281,144,48,6.664689695527328,6.1529606543464785,-146.76823765453483,195.61384307486816,5.132460252215359
1246,1246,21,2,9,0.5625,-0.3272492347489363,0.11987117944372017,144,48,6.664689695527328,6.1529606543464785,-130.1659838425475,201.6565692841641,5.132460252215359
1247,1247,21,2,9,0.5625,-0.283616003449078,0.1329909043345432,144,48,6.664689695527328,6.1529606543464785,-113.31595168216528,206.9693640169046,5.132460252215359
1248,1248,21,2,9,0.5625,-0.23998277214921984,0.1442831197618759,144,48,6.664689695527328,6.1529606543464785,-96.2502161672984,211.54211406635625,5.132460252215359
1249,1249,21,2,9,0.5625,-0.19634954084936165,0.1537263303518449,144,48,6.664689695527328,6.1529606543464785,-79.00126289545243,215.36611494290202,5.132460252215359
1250,1250,21,2,9,0.5625,-0.15271630954950347,0.16130256041637514,144,48,6.664689695527328,6.1529606543464785,-61.60192622954669,218.4340874435312,5.132460252215359
1251,1251,21,2,9,0.5625,-0.10908307824964616,0.1669973881709339,144,48,6.664689695527328,6.1529606543464785,-44.085326795838775,220.74019150821687,5.132460252215359
1252,1252,21,2,9,0.5625,-0.0654498469497871,0.17079997318721785,144,48,6.664689695527328,6.1529606543464785,-26.484808436928088,222.2800373368014,5.132460252215359
1253,1253,21,2,9,0.5625,-0.021816615649928893,0.1727030770285235,144,48,6.664689695527328,6.1529606543464785,-8.833874739859954,223.05069374523106,5.132460252215359
