mirror_id,x_m,y_m,radius_to_tower_m,average_optical_efficiency,average_cosine_efficiency,average_shadow_blocking_efficiency,average_atmospheric_efficiency,average_truncation_efficiency,average_output_power_kw
436,182.361,48.863,188.79387460932094,0.6656617311118053,0.8171285747862803,0.9215555555555557,0.969860453482285,0.9969401041666667,24.869875967055624
437,178.775,60.686,188.79430929188518,0.6819233904779524,0.8269049644217191,0.9326666666666665,0.969860409783303,0.9970052083333333,25.469245909850518
438,174.423,72.248,188.7939523210423,0.707962038478476,0.8363947410794328,0.954814814814815,0.969860445669866,0.9972005208333333,26.444580974634672
439,169.324,83.501,188.79362800952794,0.7321081666971777,0.8455632217454596,0.9735555555555553,0.9698604782731546,0.997265625,27.350158910894258
440,163.5,94.397,188.7936535188617,0.7417671842080451,0.854377121874953,0.9747407407407407,0.96986047570868,0.997265625,27.72874331338838
441,156.976,104.888,188.79342446176454,0.7386654264347297,0.8628047860620266,0.9617777777777775,0.9698604987359668,0.9972005208333333,27.641120877096444
442,149.78,114.93,188.79341434488651,0.7282727119547637,0.8708178481559987,0.9401481481481482,0.9698604997530238,0.9973307291666667,27.299442600375098
443,141.943,124.48,188.79376485731726,0.7060059741513585,0.8783895434295992,0.9043703703703702,0.9698604645157402,0.9975260416666667,26.48719841935701
444,133.497,133.497,188.79326793612108,0.6896458102050624,0.885496197184213,0.8760740740740743,0.9698605144716056,0.9977864583333333,25.858133884171536
445,124.48,141.943,188.79376485731726,0.7112982819132693,0.8921143405153569,0.8964444444444447,0.9698604645157402,0.9977864583333333,26.646160563086024
446,114.93,149.78,188.79341434488651,0.7470563279415979,0.8982235567732905,0.935185185185185,0.9698604997530238,0.9977864583333333,27.929752327483445
447,104.888,156.976,188.79342446176454,0.7767143509152913,0.9038055454384899,0.9651851851851848,0.9698604987359668,0.998046875,29.00513688306807
448,94.397,163.5,188.7936535188617,0.7936563994294935,0.9088436507015494,0.98,0.96986047570868,0.9982421875,29.59355318739535
449,83.501,169.324,188.79362800952794,0.7955040020260754,0.913323495036177,0.9779259259259259,0.9698604782731546,0.9985677083333333,29.627962088271904
450,72.248,174.423,188.7939523210423,0.7840345877076538,0.9172315719601613,0.9608888888888889,0.969860445669866,0.9986328125,29.176671789697682
451,60.686,178.775,188.79430929188518,0.7529325106234989,0.9205569160610946,0.9194814814814812,0.969860409783303,0.9983072916666667,28.018793592991628
452,48.863,182.361,188.79387460932094,0.7381817128954732,0.9232906693214353,0.8987407407407411,0.969860453482285,0.9981770833333333,27.464390227612608
453,36.832,185.166,188.7936539717371,0.7526968157240989,0.9254245531821179,0.9140740740740743,0.9698604756631538,0.9981770833333333,28.020949144455148
454,24.643,187.179,188.79421466242022,0.7884639647330245,0.9269528863616536,0.9559999999999996,0.9698604192964807,0.9981770833333333,29.344594673954113
455,12.348,188.39,188.79424038884235,0.8115919465654188,0.9278716630651753,0.9825925925925925,0.969860416710183,0.9981119791666667,30.19921109656455
456,0.0,188.794,188.794,0.8188265564095011,0.9281782549230796,0.9900740740740742,0.9698604408766638,0.9986979166666666,30.471564563183776
457,-12.348,188.39,188.79424038884235,0.8124464451958813,0.9278716630651755,0.9825925925925925,0.969860416710183,0.9991536458333333,30.23231893927556
458,-24.643,187.179,188.79421466242022,0.789026176769151,0.9269528863616536,0.9559999999999996,0.9698604192964807,0.9988932291666667,29.367326648039015
459,-36.832,185.166,188.7936539717371,0.752815122794896,0.9254245531821178,0.9140740740740743,0.9698604756631538,0.9983072916666667,28.026194771113104
460,-48.863,182.361,188.79387460932094,0.7382475322850032,0.9232906693214354,0.8987407407407411,0.969860453482285,0.9982421875,27.467736269760746
461,-60.686,178.775,188.79430929188518,0.7527468308369173,0.9205569160610944,0.9194814814814812,0.969860409783303,0.998046875,28.01222646962281
462,-72.248,174.423,188.7939523210423,0.7835606560420852,0.917231571960161,0.960888888888889,0.969860445669866,0.998046875,29.15792242967601
463,-83.501,169.324,188.79362800952794,0.7951778313014618,0.9133234950361769,0.9779259259259259,0.9698604782731546,0.9981770833333333,29.614491710120117
464,-94.397,163.5,188.7936535188617,0.7934090409178532,0.9088436507015494,0.98,0.96986047570868,0.9979166666666667,29.58369305449892
465,-104.888,156.976,188.79342446176454,0.7765271757812703,0.90380554543849,0.9651851851851848,0.9698604987359668,0.9977864583333333,28.99815521328719
466,-114.93,149.78,188.79341434488651,0.7468618874607645,0.8982235567732905,0.935185185185185,0.9698604997530238,0.9975260416666667,27.922361223166373
467,-124.48,141.943,188.79376485731726,0.7110991991721466,0.8921143405153568,0.8964444444444446,0.9698604645157402,0.9975260416666667,26.63804152556282
468,-133.497,133.497,188.79326793612108,0.689312542195778,0.885496197184213,0.8760740740740743,0.9698605144716056,0.9973307291666667,25.845548512070984
469,-141.943,124.48,188.79376485731726,0.7059568355554562,0.8783895434295993,0.9043703703703702,0.9698604645157402,0.9975260416666667,26.484289301068888
470,-149.78,114.93,188.79341434488651,0.7283826769012887,0.8708178481559988,0.9401481481481482,0.9698604997530238,0.9975260416666667,27.302579521689445
471,-156.976,104.888,188.79342446176454,0.7389543550234269,0.8628047860620267,0.9617777777777775,0.9698604987359668,0.9975911458333333,27.65135310659334
472,-163.5,94.397,188.7936535188617,0.7418518909119525,0.854377121874953,0.9747407407407407,0.96986047570868,0.9973958333333334,27.731507331330665
473,-169.324,83.501,188.79362800952794,0.732056028324044,0.8455632217454597,0.9735555555555554,0.9698604782731546,0.9972005208333333,27.34702891480533
474,-174.423,72.248,188.7939523210423,0.7078455695647354,0.8363947410794329,0.9548148148148149,0.969860445669866,0.9970703125,26.43929815091231
475,-178.775,60.686,188.79430929188518,0.6817861066591668,0.8269049644217193,0.9326666666666665,0.969860409783303,0.9968098958333333,25.463276359408162
476,-182.361,48.863,188.79387460932094,0.6656950906619988,0.8171285747862804,0.9215555555555557,0.969860453482285,0.9970052083333333,24.87050280341217
477,-185.166,36.832,188.7936539717371,0.6714336329555118,0.8071046940266837,0.9390370370370369,0.9698604756631538,0.996875,25.099652427757768
478,-187.179,24.643,188.79421466242022,0.6890467135716333,0.7968718887643125,0.9754814814814814,0.9698604192964807,0.9966796875,25.72121091665378
479,-188.39,12.348,188.79424038884235,0.6925193706201398,0.7864730328505286,0.9911111111111112,0.969860416710183,0.996484375,25.862025776779625
480,-188.794,0.0,188.794,0.6865048588299817,0.7759529202255976,0.9951851851851853,0.9698604408766638,0.9962890625,25.64503607192288
481,-188.39,-12.348,188.79424038884235,0.6757023291300536,0.7653582823240472,0.9934814814814815,0.969860416710183,0.9964192708333334,25.2498084512919
482,-187.179,-24.643,188.79421466242022,0.6523168458703089,0.7547386181702865,0.9763703703703703,0.9698604192964807,0.9963541666666667,24.39648884622063
483,-185.166,-36.832,188.7936539717371,0.6270475756308379,0.74414542487227,0.955037037037037,0.9698604756631538,0.9966145833333333,23.476192755685684
484,-182.361,-48.863,188.79387460932094,0.6100931164099546,0.7336311752963732,0.944148148148148,0.969860453482285,0.9964192708333334,22.85841519262311
485,-178.775,-60.686,188.79430929188518,0.6131824026001645,0.7232493182905585,0.958962962962963,0.969860409783303,0.9961588541666667,22.988548528015894
486,-174.423,-72.248,188.7939523210423,0.6218875975449752,0.7130578590279842,0.9841481481481481,0.969860445669866,0.9958984375,23.3203654093549
487,-169.324,-83.501,188.79362800952794,0.6161091567962768,0.7031116172386586,0.9880000000000001,0.9698604782731546,0.9953125,23.133963546059974
488,-163.5,-94.397,188.7936535188617,0.6059093447337977,0.6934665647276742,0.9861481481481481,0.96986047570868,0.9946614583333333,22.77989379314691
489,-156.976,-104.888,188.79342446176454,0.5959040948896023,0.6841789678447667,0.9835555555555555,0.9698604987359668,0.9948567708333333,22.431015491675844
490,-149.78,-114.93,188.79341434488651,0.5797286353201734,0.6753006935732556,0.9729629629629628,0.9698604997530238,0.9939453125,21.842732739896796
491,-141.943,-124.48,188.79376485731726,0.5583471064937784,0.6668809317850385,0.9534814814814813,0.9698604645157402,0.9932291666666667,21.084483287753123
492,-133.497,-133.497,188.79326793612108,0.5475740910450165,0.6589641595797957,0.9461481481481481,0.9698605144716056,0.99375,20.692448543738937
493,-124.48,-141.943,188.79376485731726,0.5510472982754587,0.6515885937084839,0.9585925925925927,0.9698604645157402,0.9942708333333333,20.82740301279184
494,-114.93,-149.78,188.79341434488651,0.5596135492268098,0.6447881096977385,0.979925925925926,0.9698604997530238,0.9947916666666666,21.124178902078775
495,-104.888,-156.976,188.79342446176454,0.557672486154218,0.6385874510762016,0.9852592592592593,0.9698604987359668,0.994921875,21.034653841777427
496,-94.397,-163.5,188.7936535188617,0.5561956996472378,0.6330068683777195,0.9909629629629628,0.96986047570868,0.9944661458333334,20.96484007524383
497,-83.501,-169.324,188.79362800952794,0.5545218401084343,0.6280612820827163,0.9956296296296295,0.9698604782731546,0.9942708333333333,20.888287566990808
498,-72.248,-174.423,188.7939523210423,0.5511515108255409,0.623761537393595,0.9981481481481482,0.969860445669866,0.9923177083333333,20.752924535534316
